Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,Cancellation_policy,Accomodates,Total_bedrooms,Total_beds,Availability_365,Price,Security_deposit,Cleaning_fee,Extra_people,Guests_included,No_of_reviews,Review_scores,Amenities,Host_id,Host_name,Street,Country,Country_code,Location_type,Longitude,Latitude,Is_location_exact
Central Terrace in the heart of Surry Hills,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,5,4.0,4.0,0,300.0,1200.0,150.0,50.0,4.0,1,80.0,"TV, Wifi, Kitchen, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace",101427166,Gabi,"Surry Hills, NSW, Australia",Australia,AU,Point,151.21271,-33.88871,True
Made4U - Glória      NEW!!!,Apartment,Entire home/apt,Real Bed,3,30,strict_14_with_grace_period,4,1.0,2.0,104,45.0,150.0,10.0,15.0,2.0,119,97.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Buzzer/wireless intercom, Family/kid friendly, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Wide hallway clearance, Step-free access, Wide doorway, Flat path to front door, Well-lit path to entrance, Step-free access, Wide doorway, Wide clearance to bed, Accessible-height bed, Step-free access, Accessible-height toilet, Step-free access, Wide entryway, Host greets you, Handheld shower head",24404975,João,"Porto, Porto District, Portugal",Portugal,PT,Point,-8.61302,41.15772,True
Cozy Unit 5min from airport!,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,177,135.0,213.0,36.0,0.0,1.0,3,80.0,"TV, Internet, Wifi, Air conditioning, Wheelchair accessible, Pool, Kitchen, Free parking on premises, Smoking allowed, Pets allowed, Gym, Elevator, Hot tub, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials",81799097,Kyle And,"Mascot, NSW, Australia",Australia,AU,Point,151.18622,-33.92391,False
Apartmento Duplex Rua das Flores,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2,1.0,2.0,363,85.0,0.0,20.0,15.0,2.0,0,95.0,"TV, Cable TV, Internet, Wifi, Wheelchair accessible, Kitchen, Elevator, Heating, Family/kid friendly, Dryer, Smoke detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Crib, Room-darkening shades",101346286,Charm,"Porto, Porto, Portugal",Portugal,PT,Point,-8.61549,41.14427,False
Luxurious 4 to 5 Room The Rocks Large House Sydney,Townhouse,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,8,4.0,5.0,261,380.0,750.0,150.0,50.0,4.0,31,91.0,"TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private living room, Private entrance, Bathtub, High chair, Fireplace guards, Crib, Pack ’n Play/travel crib, Children’s dinnerware, Hot water, Bed linens, Extra pillows and blankets, Microwave, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Long term stays allowed, Wide hallway clearance, Well-lit path to entrance, Wide entryway",3882146,Suzanna,"Council of the City of Sydney, NSW, Australia",Australia,AU,Point,151.20532,-33.86119,False
One-Bedroom Brooklyn Brownstone,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2,1.0,1.0,12,95.0,509.4304235090752,5.0,15.0,2.0,13,94.0,"TV, Wifi, Air conditioning, Kitchen, Heating, Washer, Dryer, Smoke detector, Essentials, Lock on bedroom door, Iron, Laptop friendly workspace",34331702,Mariam,"Brooklyn, NY, United States",United States,US,Point,-73.92903,40.68887,True
Charming room  Diagonal wifi 100 Mb,Apartment,Private room,Real Bed,7,45,moderate,1,1.0,1.0,126,39.0,75.0,25.0,20.0,1.0,67,97.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Elevator, Heating, Washer, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Extra pillows and blankets, Pocket wifi, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed, Wide hallway clearance, Step-free access, Wide doorway, Flat path to front door, Well-lit path to entrance, Step-free access, Accessible-height bed, Step-free access, Accessible-height toilet, Step-free access, Wide entryway, Host greets you, Waterfront, Handheld shower head, Paid parking on premises",474355,Annais,"Barcelona, Catalonia, Spain",Spain,ES,Point,2.1509,41.39106,True
Light Drenched and Private Cabin,Cabin,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,149,109.0,509.4304235090752,30.0,0.0,1.0,80,99.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Pets live on this property, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox",93259763,Steven,"Petersham, NSW, Australia",Australia,AU,Point,151.1561,-33.89618,True
Hale Honulei,House,Entire home/apt,Real Bed,3,14,moderate,5,2.0,3.0,198,175.0,750.0,150.0,25.0,4.0,95,98.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Self check-in, Lockbox, Hot water",19470558,Michele,"Ewa Beach, HI, United States",United States,US,Point,-158.00071,21.31369,True
Spacious & Cozy Bushwick Walk-up 3mins from Train,Apartment,Private room,Real Bed,1,28,moderate,2,1.0,1.0,31,49.0,0.0,50.0,5.0,1.0,60,98.0,"Internet, Wifi, Kitchen, Free parking on premises, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Luggage dropoff allowed, Long term stays allowed",9439324,Chérie,"Brooklyn, NY, United States",United States,US,Point,-73.90531,40.68844,True
Beautiful Apartment Sagrada Familia SPB332388,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,2.0,5.0,246,60.0,200.0,65.0,10.0,2.0,97,91.0,"TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Smoking allowed, Pets allowed, Elevator, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Building staff, High chair, Crib, Pack ’n Play/travel crib, Hot water, Luggage dropoff allowed, Long term stays allowed, Paid parking on premises",54820821,Albert,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.17178,41.40631,True
HM - Bonjardim Studio Downtown,Apartment,Entire home/apt,Real Bed,2,1125,moderate,2,0.0,1.0,301,55.0,150.0,0.0,0.0,1.0,2,100.0,"TV, Cable TV, Internet, Wifi, Kitchen, Paid parking off premises, Buzzer/wireless intercom, Heating, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Long term stays allowed, Host greets you",47191303,Home Me,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60825,41.15101,True
Sweet two bedroom in Crown Heights Bk,Apartment,Entire home/apt,Real Bed,1,180,moderate,3,2.0,2.0,0,87.0,300.0,100.0,0.0,1.0,9,100.0,"TV, Wifi, Kitchen, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Bathtub, Babysitter recommendations, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Paid parking on premises",41191579,Maura,"Brooklyn, NY, United States",United States,US,Point,-73.93902,40.67034,True
"İstanbulda, 3 yatakoda ğüzel daire.",Apartment,Private room,Real Bed,1,1125,flexible,4,1.0,2.0,0,200.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Pets allowed, Family/kid friendly",104076798,Osman,"G.O.Paşa, İstanbul, Turkey",Turkey,TR,Point,28.9258,41.06292,False
Urban Oasis Steps Away From Old Montreal,Apartment,Entire home/apt,Real Bed,31,180,moderate,4,2.0,2.0,308,90.0,450.0,75.0,0.0,1.0,4,95.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Paid parking off premises, Heating, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Keypad, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed",17422091,Filomena,"Montréal, Québec, Canada",Canada,CA,Point,-73.55529,45.51525,True
Private Room With Patio In Queens,Apartment,Private room,Real Bed,20,1125,strict_14_with_grace_period,2,1.0,1.0,344,48.0,100.0,94.07480119284294,0.0,2.0,32,80.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Free street parking, Heating, Smoke detector, Essentials, Lock on bedroom door, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Host greets you",8452695,Macit,"Woodside, NY, United States",United States,US,Point,-73.90168,40.73732,True
Spacious modern studio with amazing views,Apartment,Entire home/apt,Real Bed,2,120,moderate,2,0.0,1.0,0,100.0,0.0,100.0,0.0,1.0,47,96.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Free parking on premises, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, Luggage dropoff allowed, Long term stays allowed, Other",51023335,Oliver,"Kensington, NSW, Australia",Australia,AU,Point,151.22424,-33.91078,False
Coconut Coast Vacation Condo 1 Bedroom With Den,Condominium,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,4,2.0,2.0,129,169.0,200.0,160.0,0.0,1.0,20,96.0,"TV, Cable TV, Wifi, Pool, Kitchen, Free parking on premises, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Safety card, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Bathtub, Pack ’n Play/travel crib, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Beach essentials, Long term stays allowed, Well-lit path to entrance, Disabled parking spot, Step-free access, Waterfront, Beachfront",105860175,Linda,"Kapaa, HI, United States",United States,US,Point,-159.31981,22.0625,True
Harlem Parkside - 1 cozy bedroom,Condominium,Private room,Real Bed,3,28,moderate,2,1.0,3.0,179,75.0,100.0,20.0,25.0,1.0,3,100.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Doorman, Free street parking, Heating, Family/kid friendly, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, Hot water, Host greets you",106405713,Charley,"New York, NY, United States",United States,US,Point,-73.94214,40.82098,False
Spacious RM in Home with Backyard/Near Metro,House,Private room,Real Bed,3,30,strict_14_with_grace_period,4,1.0,4.0,88,79.0,100.0,20.0,20.0,3.0,63,90.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Free street parking, Heating, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, Self check-in, Keypad, Bathtub, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, BBQ grill, Patio or balcony, Garden or backyard, Luggage dropoff allowed, Step-free access, Step-free access",105394139,Ciprian,"Bronx, NY, United States",United States,US,Point,-73.8951,40.86914,True
Cozy In The Heart Of The Plateau,Apartment,Private room,Real Bed,2,40,strict_14_with_grace_period,2,1.0,1.0,0,68.0,509.4304235090752,25.0,25.0,2.0,112,94.0,"Wifi, Kitchen, Paid parking off premises, Pets live on this property, Cat(s), Free street parking, Heating, Family/kid friendly, Washer, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Self check-in, Smart lock, Bathtub, Hot water, Bed linens, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Luggage dropoff allowed, Long term stays allowed",1648849,Collin,"Montreal, QC, Canada",Canada,CA,Point,-73.56963,45.51895,True
Apartment among the trees,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1.0,3.0,170,161.0,500.0,116.0,0.0,1.0,47,89.0,"TV, Wifi, Kitchen, Free parking on premises, Free street parking, Heating, Family/kid friendly, Smoke detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Hot water, Microwave, Refrigerator, Dishes and silverware, Cooking basics, Stove, Patio or balcony, Luggage dropoff allowed, Long term stays allowed",95214788,Cushie - Concierge Services,"Avalon Beach, NSW, Australia",Australia,AU,Point,151.31776,-33.62716,True
"Lahaina Condo Near Front St. Upstairs, Corner Unit",Condominium,Entire home/apt,Real Bed,3,1125,moderate,6,2.0,3.0,144,220.0,509.4304235090752,100.0,0.0,1.0,62,97.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free street parking, Hot tub, Family/kid friendly, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Laptop friendly workspace, Pack ’n Play/travel crib, Hot water, Long term stays allowed, Other, Paid parking on premises",106344981,Chelsea,"Lahaina, HI, United States",United States,US,Point,-156.67428,20.8751,True
AMAZING split level Penthouse,Apartment,Entire home/apt,Real Bed,5,30,strict_14_with_grace_period,8,2.0,2.0,44,300.0,1800.0,120.0,100.0,4.0,3,73.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Smoking allowed, Gym, Elevator, Buzzer/wireless intercom, Heating, Washer, Dryer, Smoke detector, Essentials, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Bathtub, Hot water, Host greets you, Paid parking on premises",47918196,Richard,"Pyrmont, NSW, Australia",Australia,AU,Point,151.19396,-33.87175,True
A charming Art-deco upper Manhattan,Apartment,Private room,Real Bed,1,1125,flexible,2,1.0,2.0,2,80.0,100.0,50.0,0.0,1.0,7,91.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Paid parking off premises, Breakfast, Elevator, Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Private entrance, Bathtub, Stair gates, Window guards, Room-darkening shades, Hot water, Wide hallway clearance, Wide doorway, Flat path to front door, Well-lit path to entrance, Step-free access, Wide doorway, Wide clearance to bed, Accessible-height bed, Step-free access, Wide doorway, Accessible-height toilet, Wide clearance to shower, toilet, Step-free access, Wide entryway, Host greets you, Handheld shower head",105384236,Aleksandra,"New York, NY, United States",United States,US,Point,-73.93585,40.85425,False
The Lux MTL Condo steps away from everything!,Condominium,Entire home/apt,Real Bed,2,365,strict_14_with_grace_period,4,2.0,2.0,65,82.0,135.0,40.0,40.0,2.0,119,97.0,"TV, Wifi, Air conditioning, Kitchen, Free parking on premises, Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, Carbon monoxide detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Bathtub, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Pocket wifi, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Long term stays allowed, Host greets you",104027251,Nicky,"Montréal, Québec, Canada",Canada,CA,Point,-73.57005,45.49243,True
Lapa for your lifestyle.,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2,1.0,1.0,329,93.0,600.0,80.0,0.0,2.0,124,98.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Doorman, Elevator, Buzzer/wireless intercom, Family/kid friendly, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace",8368066,Alexandre,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.184613548819904,-22.912102434375207,True
Mike's House- Hina Room,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,256,95.0,150.0,45.0,0.0,2.0,192,96.0,"Cable TV, Wifi, Kitchen, Free parking on premises, Pets live on this property, Cat(s), Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Self check-in, Keypad",8591101,Rina,"Paia, HI, United States",United States,US,Point,-156.37272,20.90555,True
Penthouse resort Apartment feel,Apartment,Private room,Real Bed,30,60,flexible,1,1.0,2.0,304,50.0,0.0,0.0,18.0,1.0,1,100.0,"Wifi, Pool, Kitchen, Free parking on premises, Gym, Elevator, Washer, Smoke detector, Essentials, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Single level home, BBQ grill, Patio or balcony, Long term stays allowed, Cleaning before checkout, Well-lit path to entrance, Step-free access, Host greets you",106094152,Muñeca,"Turrella, NSW, Australia",Australia,AU,Point,151.13956,-33.93171,False
"Spacious two bed apartment, Surry Hills",Condominium,Private room,Real Bed,3,10,moderate,2,1.0,1.0,89,175.0,250.0,120.0,0.0,2.0,1,100.0,"TV, Wifi, Pool, Kitchen, Elevator, Family/kid friendly, Washer, Dryer, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Hot water, Bed linens, Other",104702275,Nicole,"Surry Hills, NSW, Australia",Australia,AU,Point,151.21538,-33.87897,False
Architectural 2BR in Mile End by Sonder,Apartment,Entire home/apt,Real Bed,2,1124,strict_14_with_grace_period,4,2.0,2.0,0,85.0,400.0,106.0,7.0,4.0,16,89.0,"TV, Wifi, Kitchen, Free street parking, Heating, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Private living room, Hot water, Bed linens, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Long term stays allowed",12243051,Sonder,"Montréal, QC, Canada",Canada,CA,Point,-73.59851,45.51693,True
Lovely room with the best location ever!,Apartment,Private room,Real Bed,3,10,moderate,2,1.0,1.0,0,60.0,509.4304235090752,15.0,0.0,1.0,28,92.0,"Wifi, Kitchen, Smoking allowed, Family/kid friendly, Washer, Essentials, Shampoo, Lock on bedroom door, Hangers",19958535,Victoria,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.16991,41.39598,True
"Wailea Ekahi 48C ~ 1 BR, 2 BA Garden Setting",Condominium,Entire home/apt,Real Bed,4,1125,super_strict_30,4,1.0,1.0,279,320.0,0.0,145.0,10.0,2.0,0,95.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Pool, Kitchen, Free parking on premises, Gym, Elevator, Family/kid friendly, Washer, Dryer, Hangers, Hair dryer, Iron, Self check-in, Lockbox, Hot water",13039811,Kumulani Vacations,"Kihei, HI, United States",United States,US,Point,-156.43391,20.69263,True
Cozy Appartement in the heart of the Plateau,Apartment,Entire home/apt,Real Bed,2,14,flexible,4,1.0,1.0,0,81.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"TV, Wifi, Kitchen, Heating, Washer, Dryer, Smoke detector, Essentials, Shampoo, Hair dryer",78023468,Philippe,"Montréal, Québec, Canada",Canada,CA,Point,-73.57922,45.52932,True
CITY CENTER FLAT WITH VIEW TERRACE,Apartment,Entire home/apt,Real Bed,32,1125,moderate,4,2.0,2.0,323,59.0,125.0,80.0,4.0,3.0,10,92.0,"TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Buzzer/wireless intercom, Heating, Family/kid friendly, Washer, Dryer, Essentials, Shampoo, 24-hour check-in, Hangers, Hair dryer, Iron, Laptop friendly workspace, High chair, Crib, Room-darkening shades, Game console, Hot water, Bed linens, Extra pillows and blankets, Ethernet connection, Pocket wifi, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Beach essentials, Luggage dropoff allowed, Long term stays allowed, Well-lit path to entrance, Accessible-height bed, Accessible-height toilet, Host greets you, Full kitchen, Paid parking on premises",2565810,Alberto,"Barcelona, Catalunya, Spain",Spain,ES,Point,2.17377,41.37333,False
Close to Coogee beach and fun stuff,Apartment,Entire home/apt,Real Bed,2,30,flexible,4,2.0,3.0,0,119.0,509.4304235090752,94.07480119284294,0.0,1.0,4,95.0,"TV, Internet, Wifi, Wheelchair accessible, Kitchen, Family/kid friendly, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, 24-hour check-in, Hangers, Iron, Laptop friendly workspace, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Self check-in, Building staff",20708740,Les,"Randwick, NSW, Australia",Australia,AU,Point,151.24527,-33.92244,False
DOUBLE BED+FREE TEA AND COFFEE!,House,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,364,135.0,200.0,35.0,55.0,1.0,5,100.0,"Wifi, Smoking allowed, Pets live on this property, Free street parking, Heating, Washer, Smoke detector, Fire extinguisher, Essentials, Hangers, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50, Hot water, Host greets you",90773848,Maria,"Rydalmere, NSW, Australia",Australia,AU,Point,151.04927,-33.81454,False
Turtle Bay Suite Newly Renovated!,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,316,100.0,250.0,120.0,20.0,2.0,67,86.0,"TV, Cable TV, Wifi, Pool, Free street parking, Family/kid friendly, Suitable for events, Smoke detector, Essentials, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Keypad, Private entrance, Pack ’n Play/travel crib, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Cooking basics, BBQ grill, Long term stays allowed",3970342,Jason,"Kahuku, HI, United States",United States,US,Point,-157.99358,21.69889,True
Ocean View Home for Vacations and Executive Stays,House,Entire home/apt,Real Bed,4,9,flexible,5,3.0,3.0,0,135.0,250.0,16.0,15.0,5.0,7,97.0,"Wifi, Kitchen, Free parking on premises, Pets live on this property, Free street parking, Washer, Dryer, Smoke detector, Fire extinguisher, Essentials, Shampoo, Lock on bedroom door, Hangers, Hair dryer, Iron, Laptop friendly workspace, Self check-in, Lockbox, Private entrance, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove",82029929,Deanna,"Honolulu, HI, United States",United States,US,Point,-157.84952,21.34049,True
Room rent in Coogee,Apartment,Private room,Real Bed,21,23,moderate,2,1.0,1.0,178,50.0,300.0,50.0,10.0,1.0,0,95.0,"TV, Internet, Wifi, Pool, Kitchen, Free parking on premises, Washer, Smoke detector, Essentials, 24-hour check-in, Hair dryer, Iron, translation missing: en.hosting_amenity_49, translation missing: en.hosting_amenity_50",70274131,Ciara,"Coogee, NSW, Australia",Australia,AU,Point,151.25062,-33.92619,False
Loft Leblon próximo a praia rua Aristide Espindola,Loft,Entire home/apt,Real Bed,3,28,strict_14_with_grace_period,4,0.0,2.0,164,298.0,1000.0,185.0,0.0,1.0,14,94.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Doorman, Elevator, Free street parking, Buzzer/wireless intercom, Family/kid friendly, First aid kit, Essentials, Shampoo, Hangers, Hair dryer, Iron, Laptop friendly workspace, Hot water, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Host greets you",76394416,Marcelo,"Rio de Janeiro, Rio de Janeiro, Brazil",Brazil,BR,Point,-43.22694156300586,-22.984971035527924,True
A jewel in Bondi,House,Entire home/apt,Real Bed,6,21,flexible,8,4.0,4.0,0,500.0,509.4304235090752,94.07480119284294,0.0,1.0,2,95.0,"TV, Cable TV, Wifi, Air conditioning, Kitchen, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Essentials, Hangers, Hair dryer, Iron, Laptop friendly workspace, Bed linens, Extra pillows and blankets",8287016,Elana,"Bondi Beach, NSW, Australia",Australia,AU,Point,151.26919,-33.88709,True
Cozy appartement in the plateau of Montreal !,Apartment,Private room,Real Bed,2,1125,moderate,2,2.0,1.0,0,50.0,0.0,25.0,0.0,1.0,6,100.0,"Wifi, Kitchen, Paid parking off premises, Free street parking, Heating, Family/kid friendly, Washer, Dryer, Smoke detector, First aid kit, Fire extinguisher, Essentials, Hangers, Hair dryer, Laptop friendly workspace, translation missing: en.hosting_amenity_50, Self check-in, Lockbox, Hot water, Microwave, Coffee maker, Refrigerator, Dishwasher, Dishes and silverware, Cooking basics, Oven, Stove, Patio or balcony, Step-free access, Step-free access",7018334,Lucie,"Montréal, Québec, Canada",Canada,CA,Point,-73.57684,45.53454,True
Eyüp'de teraslı ve garajlı konak...,Loft,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,179,148.0,509.4304235090752,94.07480119284294,0.0,1.0,0,95.0,"Free parking on premises, Smoking allowed, Pets allowed, Indoor fireplace, Family/kid friendly, 24-hour check-in, translation missing: en.hosting_amenity_50",103531749,Talha,"Eyüp , İstanbul, Turkey",Turkey,TR,Point,28.93406,41.04209,False
SANTA CATARINA HOUSE,House,Entire home/apt,Real Bed,1,1125,moderate,8,3.0,6.0,119,69.0,509.4304235090752,20.0,13.0,4.0,221,97.0,"TV, Cable TV, Internet, Wifi, Air conditioning, Kitchen, Paid parking off premises, Pets allowed, Family/kid friendly, Washer, First aid kit, Safety card, Fire extinguisher, Essentials, Hangers, Hair dryer, Iron, Hot water, Bed linens, Extra pillows and blankets, Microwave, Coffee maker, Refrigerator, Dishes and silverware, Cooking basics, Oven, Stove",37015742,Francisco,"Porto, Porto, Portugal",Portugal,PT,Point,-8.60525,41.14974,False
